epoch;train_loss;train_accuracy;test_loss;test_accuracy;test_precision;test_recall;test_f1;test_specificity;test_npv;test_fpr;test_fnr;test_mcc;test_tp;test_fp;test_tn;test_fn
35;0.30296372234771485;0.8753788670568562;0.0882686577681312;0.9888392857142857;0.9997561570348695;0.9803921568627451;0.9899794760352529;0.9997684113015285;0.9813593998636053;0.0002315886984715146;0.0196078431372549;0.9806379462800819;8200;2;8634;164
36;0.29945136526954613;0.8773515886287625;0.07796943273143213;0.9950657894736842;0.9990384615384615;0.9937828790052606;0.9964037401102852;0.999073645206114;0.9940092165898617;0.0009263547938860583;0.006217120994739359;0.9929520965699519;8312;8;8628;52
37;0.2970825651268098;0.8786057692307693;0.08345667683148295;0.9908952067669173;0.999635878140551;0.9846963175514108;0.9921098596639162;0.9996526169522927;0.9853897956854241;0.0003473830477072719;0.015303682448589193;0.9846872460275858;8236;3;8633;128
38;0.2968928984500293;0.8789389109531772;0.06753783446169437;0.9949483082706767;0.9992783257156603;0.9933046389287422;0.9962825278810409;0.9993052339045855;0.9935528436564587;0.0006947660954145438;0.006695361071257772;0.9927205149363153;8308;6;8630;56
39;0.2930058945331685;0.8817216241638796;0.06703060179164536;0.9949483082706767;0.9993984600577478;0.9931850789096126;0.9962820820340609;0.9994210282538212;0.993439226519337;0.0005789717461787865;0.0068149210903873745;0.9927218901174839;8307;5;8631;57
40;0.29140502276727587;0.8821200877926422;0.06881355441042356;0.9945371240601504;0.9992777175875768;0.992467718794835;0.9958610761202087;0.9993052339045855;0.9927527896008282;0.0006947660954145438;0.007532281205164993;0.991901721584426;8301;6;8630;63
41;0.2905936155181665;0.8826687918060201;0.08145171140593693;0.9941846804511278;0.9997588327505125;0.991272118603539;0.9954973884853215;0.9997684113015285;0.9916159411967382;0.0002315886984715146;0.008727881396461024;0.9912076378374007;8291;2;8634;73
42;0.2880255897781721;0.8838184573578596;0.060668646434980225;0.9942434210526315;0.9992772825825103;0.991869918699187;0.9955598223928956;0.9993052339045855;0.9921821108300759;0.0006947660954145438;0.008130081300813009;0.9913172628206187;8296;6;8630;68
43;0.2863729846068848;0.8856931960702341;0.07541971353996069;0.9917763157894737;0.9997576345128454;0.9863701578192252;0.9930187770823302;0.9997684113015285;0.9869684499314129;0.0002315886984715146;0.013629842180774749;0.9864322830422699;8250;2;8634;114
44;0.2855401265506561;0.8854057796822743;0.06463067643904596;0.9954182330827067;0.9992790194664743;0.994261119081779;0.9967637540453074;0.9993052339045855;0.9944687716063609;0.0006947660954145438;0.005738880918220947;0.9936570678883598;8316;6;8630;48
45;0.28293594759094676;0.8868689903846154;0.07050849277442112;0.9945371240601504;0.9995182464169577;0.9922285987565758;0.995860082798344;0.999536822603057;0.992526158445441;0.0004631773969430292;0.007771401243424199;0.9919049033026417;8299;4;8632;65
46;0.28148461845905887;0.8871629389632107;0.0794829872990013;0.9905427631578947;0.9998784785514643;0.983739837398374;0.9917435062978365;0.9998842056507642;0.9844943564017786;0.0001157943492357573;0.016260162601626018;0.9839983677752981;8228;1;8635;136
47;0.27921842308995315;0.8888417119565217;0.06252440975460791;0.9959468984962406;0.9993996878376756;0.9952175992348159;0.9973042592703529;0.9994210282538212;0.9953869219236535;0.0005789717461787865;0.004782400765184123;0.9947126158730886;8324;5;8631;40
48;0.2787737618994753;0.8891291283444817;0.07536960351175832;0.9903078007518797;0.9997568980187188;0.9833811573409852;0.9915014164305949;0.9997684113015285;0.9841559329761769;0.0002315886984715146;0.016618842659014827;0.9835311257781658;8225;2;8634;139
49;0.2779329205025299;0.8898607336956522;0.060635985680540704;0.9950070488721805;0.999759239195859;0.9929459588713534;0.9963409513526483;0.9997684113015285;0.9932129299436329;0.0002315886984715146;0.007054041128646581;0.992843261288765;8305;2;8634;59
